type,postal_code,distributor,zone
gas,3441,AusNet Services,AusNet Services - Adjoining West
gas,3011,AusNet Services,AusNet Services - Central
gas,3024,AusNet Services,AusNet Services - Central
gas,3250,AusNet Services,AusNet Services - West
gas,3875,Australian Gas Networks,Australian Gas Networks - Bairnsdale
gas,3812,Australian Gas Networks,Australian Gas Networks - Central
gas,3198,Australian Gas Networks,Australian Gas Networks - Central
gas,3000,Multinet Gas,Multinet Gas - Melbourne Metropolitan Area
gas,3500,Australian Gas Networks,Australian Gas Networks - Mildura
gas,3004,Multinet Gas,Multinet Gas - Melbourne Metropolitan Area
gas,3150,Multinet Gas,Multinet Gas - Melbourne Metropolitan Area
gas,3139,Multinet Gas,Multinet Gas - Yarra Valley Extension
