URL,title,location,datetime
https://newyork.craigslist.org/lgi/egr/d/residential-estimate-or-sales/6640951410.html,Residential estimate or sales person,Huntington Station,2018-07-11 21:11
https://newyork.craigslist.org/mnh/egr/d/junior-level-architect-revit/6640910555.html,Junior Level Architect-Revit User | Hospitality Projects,Midtown,2018-07-11 20:11
https://newyork.craigslist.org/mnh/egr/d/intermediate-junior/6640759542.html,Intermediate Junior Architectural Designer,Midtown,2018-07-11 17:14
https://newyork.craigslist.org/mnh/egr/d/junior-designer/6640622998.html,Junior Designer,Midtown East,2018-07-11 15:04
https://newyork.craigslist.org/mnh/egr/d/jr-plumbing-fire-protection/6640537867.html,Jr. Plumbing -Fire Protection Engineers/REVIT,Midtown West,2018-07-11 13:51
https://newyork.craigslist.org/mnh/egr/d/sr-mep-design-engineer/6640534860.html,Sr. MEP Design Engineer - Mechanical,Midtown West,2018-07-11 13:48
https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-electrical-fire/6640533980.html,Sr. Project/PM Electrical &amp; Fire Alarm Engineers,Midtown West,2018-07-11 13:48
https://newyork.craigslist.org/mnh/egr/d/mep-design-engineer/6640522648.html,MEP Design Engineer - Mechanical+PM,Midtown West,2018-07-11 13:38
https://newyork.craigslist.org/mnh/egr/d/mep-design-engineer/6640520518.html,MEP Design Engineer - Electrical+Fire Alarm,Midtown West,2018-07-11 13:36
https://newyork.craigslist.org/mnh/egr/d/cad-file-administrator/6640517994.html,CAD FILE ADMINISTRATOR,Midtown West,2018-07-11 13:34
https://newyork.craigslist.org/mnh/egr/d/project-manager/6640502299.html,Project Manager,"New York, NY",2018-07-11 13:21
https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6640409401.html,Draftsperson Detailer,Long Island City,2018-07-11 12:03
https://newyork.craigslist.org/mnh/egr/d/internship-for-the-summer-can/6640357313.html,"Internship for the Summer, can lead to Full-Time Position",Tri-State Area,2018-07-11 11:17
https://newyork.craigslist.org/mnh/egr/d/architectural-rendering/6639975928.html,Architectural Rendering Position (freelance),,2018-07-10 20:01
https://newyork.craigslist.org/mnh/egr/d/hvac-designers/6639746736.html,HVAC DESIGNERS,Midtown,2018-07-10 15:55
https://newyork.craigslist.org/mnh/egr/d/mep-architecture-special/6639597642.html,MEP/Architecture - SPECIAL INSPECTOR,Midtown West,2018-07-10 13:42
https://newyork.craigslist.org/mnh/egr/d/cad-designer-needed-on/6639465149.html,CAD Designer Needed on Contractual Basis,Midtown,2018-07-10 11:52
https://newyork.craigslist.org/brk/egr/d/project-manager/6639424185.html,Project Manager,,2018-07-10 11:17
https://newyork.craigslist.org/mnh/egr/d/director-of-special/6638828450.html,"Director of Special Inspections, PE",Midtown West,2018-07-09 16:38
https://newyork.craigslist.org/mnh/egr/d/cad-drafter-for-interior/6638732483.html,CAD drafter for INTERIOR DESIGNER- PART TIME- TELECOMMUTE,,2018-07-09 15:16
https://newyork.craigslist.org/brk/egr/d/stair-railing-builder/6638627739.html,Stair &amp; Railing Builder,,2018-07-09 13:52
https://newyork.craigslist.org/mnh/egr/d/architecture-expert-needed/6638583350.html,Architecture Expert Needed,,2018-07-09 13:17
https://newyork.craigslist.org/mnh/egr/d/hvac-mechanical-project/6638516795.html,HVAC MECHANICAL PROJECT MANAGER,MANHATTAN,2018-07-09 12:25
https://newyork.craigslist.org/brk/egr/d/project-architect/6638339309.html,Project Architect,Brooklyn,2018-07-09 09:51
https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/6638336749.html,Architectural Draftsperson,Brooklyn,2018-07-09 09:48
https://newyork.craigslist.org/wch/egr/d/project-manager-estimator/6638243953.html,Project Manager/Estimator,Westchester County,2018-07-09 06:49
https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6638193660.html,IT Support Specialist / CAD Specialist,Flatiron,2018-07-09 01:05
https://newyork.craigslist.org/mnh/egr/d/architects-junior-project/6637752463.html,Architects: Junior &amp; Project Level,Manhattan,2018-07-08 14:05
https://newyork.craigslist.org/lgi/egr/d/project-architect/6637074430.html,Project Architect,WESTCHESTER,2018-07-07 15:06
https://newyork.craigslist.org/que/egr/d/free-lance-or-pt-structural/6636958630.html,Free-lance or PT -Structural PE with Stamp,Queens/Manhattan,2018-07-07 13:19
https://newyork.craigslist.org/que/egr/d/exterior-restoration-ll11/6636856246.html,Exterior Restoration/ LL11 Reports,North Flushing,2018-07-07 11:49
https://newyork.craigslist.org/que/egr/d/free-lance-sketchup-2018/6636762498.html,◄◄  FREE-LANCE SKETCHUP 2018 ARCHITECT AVAILABLE FOR YOUR PROJECT,"Queens, New York",2018-07-07 10:15
https://newyork.craigslist.org/mnh/egr/d/seeking-interior-design-spaz/6636372893.html,Seeking : Interior Design Spaz and or Project Management dork,Flatiron,2018-07-06 18:09
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6636352432.html,Facade / Building Envelope Engineer or Architect,TriBeCa,2018-07-06 17:47
https://newyork.craigslist.org/stn/egr/d/part-time-architectural/6636335768.html,Part-Time Architectural Survey and Drafting,NYC,2018-07-06 17:30
https://newyork.craigslist.org/wch/egr/d/architect-engineer-cad/6636262112.html,Architect / Engineer / CAD Operator,"Westchester, NY",2018-07-06 16:20
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6636228431.html,Intermediate Architect,Flatiron,2018-07-06 15:49
https://newyork.craigslist.org/mnh/egr/d/architect-field-representative/6636226155.html,Architect field representative,Flatiron,2018-07-06 15:46
https://newyork.craigslist.org/que/egr/d/revit-mep-drafter/6636173899.html,REVIT MEP Drafter,"College Point, NY",2018-07-06 14:59
https://newyork.craigslist.org/mnh/egr/d/experienced-kitchen-bath/6636051424.html,Experienced Kitchen &amp; Bath Designer Wanted,Midtown West,2018-07-06 13:16
https://newyork.craigslist.org/mnh/egr/d/estimator-drywall-acoustical/6635905904.html,ESTIMATOR - DRYWALL &amp; ACOUSTICAL,Midtown,2018-07-06 11:15
https://newyork.craigslist.org/que/egr/d/construction-superintendent/6635793304.html,CONSTRUCTION SUPERINTENDENT,,2018-07-06 09:19
https://newyork.craigslist.org/brk/egr/d/project-manager-super-for/6635756971.html,Project Manager/Super for CONCRETE CONSTRUCTION,Brooklyn,2018-07-06 08:21
https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6635132028.html,Architect/Engineer/Construction Manager,Downtown,2018-07-05 13:36
https://newyork.craigslist.org/mnh/egr/d/architectural-proposals-and/6634907438.html,Architectural Proposals and Marketing Coordinator,SoHo,2018-07-05 10:20
https://newyork.craigslist.org/brk/egr/d/junior-architect-designer/6634891862.html,Junior Architect / Designer / Draftsperson,,2018-07-05 10:03
https://newyork.craigslist.org/mnh/egr/d/architectural-draft-persons/6634373673.html,ARCHITECTURAL DRAFT PERSONS,Chinatown / Lit Italy,2018-07-04 13:07
https://newyork.craigslist.org/mnh/egr/d/intern-architect-construction/6634347666.html,"intern- Architect, Construction Management",Manhattan,2018-07-04 12:36
