Model,Camera,Rom,Descrip,Brand,Ram,Price,Size
Galaxy Grand Prime Plus , 8MP Camera , 8GB ,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Gold",Samsung , 1.5GB RAM ," 14,499"," 5.0"" "
Galaxy J1 J120F , 5MP Camera , 8GB ,"Galaxy J1 J120F - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Gold",Samsung , 1GB RAM ," 11,499"," 4.5"" "
Galaxy Note 5 ,, 32GB ROM ,Galaxy Note 5 - SM-N920 - 32GB ROM - Gold Platinum,Samsung ,," 44,999",
Galaxy Note 5 , 16MP , 32GB ,"Galaxy Note 5 - 5.7"" - 32GB - 4GB RAM - 16MP - Black - 4G LTE - With 5100 mAh Battery Pack",Samsung , 4GB RAM ," 57,299"," 5.7"" "
S7 Edge ,, 128GB ,"S7 Edge - 5.5"" - 4GB RAM - 128GB - 4G LTE - Black - With Gear VR",Samsung , 4GB RAM ," 72,899"," 5.5"" "
Galaxy Grand Prime Plus , 8MP , 8GB ,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP - Black",Samsung , 1.5GB RAM ," 14,299"," 5.0"" "
S8 , 12MP , 64GB ROM ,"S8 - 5.8"" - 4GB RAM - 64GB ROM - 12MP - Maple Gold",Samsung , 4GB RAM ," 78,099"," 5.8"" "
Galaxy A3 , 13MP , 16GB ,"Galaxy A3 - 4.7"" - 2GB RAM - 16GB - 13MP - Gold - With Neon Flip Cover",Samsung , 2GB RAM ," 30,899"," 4.7"" "
Galaxy T560 Tab E ,, 8GB ,"Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Pearl White - Wifi Only",Samsung , 1.5GB ," 18,399"," 9.6"" "
Galaxy J1 Mini Prime , 5MP , 8GB ,"Galaxy J1 Mini Prime - 4"" - 8GB - 1GB RAM - 5MP - Gold",Samsung , 1GB RAM ," 9,199"," 4"" "
Earphone For Galaxy S6 & S6 Edge ,,,Earphone For Galaxy S6 & S6 Edge - White,Samsung ,, 990,
J7 Prime , 13MP , 16GB  ,"J7 Prime - 5.5"" - 16GB  - 3GB RAM - 13MP - Gold",Samsung , 3GB RAM ," 27,399"," 5.5"" "
Galaxy A7 , 16MP , 32GB ,"Galaxy A7 - 5.7"" - 3GB - 32GB - 16MP - Gold - With Neon Flip Cover",Samsung , 3GB ," 46,299"," 5.7"" "
Fast Charger With USB Cable Travel Adapter for Samsung ,,,Fast Charger With USB Cable Travel Adapter for Samsung - White,Samsung ,," 1,040",
