{'Date': 1, 'Status': 'HoliDay', 'Day': 'Monday'}
{'Date': 2, 'Status': 'HoliDay', 'Day': 'Tuesday'}
{'Date': 3, 'Status': 'HoliDay', 'Day': 'Wednesday'}
{'Date': 4, 'Status': 'HoliDay', 'Day': 'Thursday'}
{'Date': 5, 'Status': 'HoliDay', 'Day': 'Friday'}
{'Date': 6, 'Status': 'HoliDay', 'Day': 'Saturday'}
{'Date': 7, 'Status': 'HoliDay', 'Day': 'Sunday'}
{'Date': 8, 'Status': 'HoliDay', 'Day': 'Monday'}
{'Date': 9, 'Status': 'HoliDay', 'Day': 'Tuesday'}
{'Date': 10, 'Status': 'HoliDay', 'Day': 'Wednesday'}
{'Date': 11, 'Status': 'HoliDay', 'Day': 'Thursday'}
{'Date': 12, 'Status': 'HoliDay', 'Day': 'Friday'}
{'Date': 13, 'Status': 'HoliDay', 'Day': 'Saturday'}
{'Date': 14, 'Status': 'HoliDay', 'Day': 'Sunday'}
{'Date': 15, 'Status': 'HoliDay', 'Day': 'Monday'}
{'Date': 16, 'Status': 'HoliDay', 'Day': 'Tuesday'}
{'Date': 17, 'Status': 'HoliDay', 'Day': 'Wednesday'}
{'Date': 18, 'Status': 'HoliDay', 'Day': 'Thursday'}
{'Date': 19, 'Status': 'HoliDay', 'Day': 'Friday'}
{'Date': 20, 'Status': 'HoliDay', 'Day': 'Saturday'}
{'Date': 21, 'Status': 'HoliDay', 'Day': 'Sunday'}
{'Date': 22, 'Status': 'HoliDay', 'Day': 'Monday'}
{'Date': 23, 'Status': 'HoliDay', 'Day': 'Tuesday'}
{'Date': 24, 'Status': 'HoliDay', 'Day': 'Wednesday'}
{'Date': 25, 'Status': 'HoliDay', 'Day': 'Thursday'}
{'Date': 26, 'Status': 'HoliDay', 'Day': 'Friday'}
{'Date': 27, 'Status': 'HoliDay', 'Day': 'Saturday'}
{'Date': 28, 'Status': 'HoliDay', 'Day': 'Sunday'}
{'Date': 29, 'Status': 'HoliDay', 'Day': 'Monday'}
{'Date': 30, 'Status': 'HoliDay', 'Day': 'Tuesday'}
