zipcode,provider,type
2600,ActewAGL,E
7000,Aurora,E
2000,AusGrid,E
2115,Endeavour,E
4000,Energex,E
4353,Ergon Energy,E
2311,Essential Energy,E
5000,SA Power,E
2600,ActewAGL ACT,G
2536,ActewAGL Boorowa,G
2620,ActewAGL Queanbeyan,G
2535,ActewAGL Shoalhaven,G
6330,Albany,G
4073,APT Brisbane South,G
3441,Ausnet Adjoining West,G
3011,Ausnet Central 1,G
3024,Ausnet Central 2,G
3250,Ausnet West,G
2340,Central Ranges Tamworth,G
5000,Envestra Adelaide,G
2640,Envestra Albury,G
3875,Envestra Bairnsdale,G
4000,Envestra Brisbane North,G
3812,Envestra Cardinia,G
3198,Envestra Central 1,G
3000,Envestra Central 2,G
2630,Envestra Cooma,G
5290,Envestra Mt Gambier,G
2643,Envestra Murray Valley,G
3521,Envestra North,G
4700,Envestra Northern,G
5422,Envestra Port Pirie,G
5253,Envestra Riverland,G
2588,Envestra Temora,G
2720,Envestra Tumut,G
2650,Envestra Wagga Wagga,G
5600,Envestra Whyalla,G
4650,Envestra Wide Bay,G
2000,Jemena,G
6430,Kalgoorlie,G
3500,Mildura,G
3004,Multinet 1,G
3150,Multinet 2,G
6000,South West,G
7000,TGN,G
3139,Yarra Valley,G
