zipcode,provider,type
2600,ActewAGL,D
7000,Aurora,D
2000,AusGrid,D
2115,Endeavour,D
4000,Energex,D
4353,Ergon Energy,D
2311,Essential Energy,D
5000,SA Power,D
2600,ActewAGL ACT,D
2536,ActewAGL Boorowa,D
2620,ActewAGL Queanbeyan,D
2535,ActewAGL Shoalhaven,D
6330,Albany,D
4073,APT Brisbane South,D
3441,Ausnet Adjoining West,D
3011,Ausnet Central 1,D
3024,Ausnet Central 2,D
3250,Ausnet West,D
2340,Central Ranges Tamworth,D
5000,Envestra Adelaide,D
2640,Envestra Albury,D
3875,Envestra Bairnsdale,D
4000,Envestra Brisbane North,D
3812,Envestra Cardinia,D
3198,Envestra Central 1,D
3000,Envestra Central 2,D
2630,Envestra Cooma,D
5290,Envestra Mt Gambier,D
2643,Envestra Murray Valley,D
3521,Envestra North,D
4700,Envestra Northern,D
5422,Envestra Port Pirie,D
5253,Envestra Riverland,D
2588,Envestra Temora,D
2720,Envestra Tumut,D
2650,Envestra Wagga Wagga,D
5600,Envestra Whyalla,D
4650,Envestra Wide Bay,D
2000,Jemena,D
6430,Kalgoorlie,D
3500,Mildura,D
3004,Multinet 1,D
3150,Multinet 2,D
6000,South West,D
7000,TGN,D
3139,Yarra Valley,D
