Store Name,Ownership Type,Address Line 1,Address Line 2,City,Province/State,Postal Code,Latitude,Longitude
KFC Agra New,Franchisee,"Plot No. - 2022, Basai Mustquil, Fatehabad Road",Opp. Indra Hospital,Agra,U P,125120,27.1575459,78.0502244
KFC Railway Station-Agra,Franchisee,"KFC Restaurant, Agra Canteen",Agra Canteen Railway Station,Agra,U P,282001,27.159083,77.99063
"KFC Alpha One Mall, Ahemdabad",Franchisee,"Alpha 1 Mall ,TP No. 1, FP No. - 216,Food Court",Vastrapur Lake,Ahmedabad,Gujarat,380054,23.0400083,72.5313642
KFC RBD CG Road,Franchisee,"3rd Eye Bulding No.2,","CG Road, Panchavati,",Ahmedabad,Gujarat,380009,23.0401434,72.5663511
KFC RBD Prahlad Nagar,Franchisee,"Shop No.13-G.F., Pushpak Hills,","Prahlad Nagar, Vejalpur",Ahmedabad,Gujarat,380015,23.0120338,72.510754
KFC Aizwal,Franchisee,"G-39,","CHANMARI,",Aizwal,Mizoram,796007,23.740738,92.7172255
KFC DT Alleppey,Company,"KFC Restaurant, Re Sy Block No : 197,  Re Sy No : 28","Opp SD College, Ambalapuzha Taluk, Allapuzha Ward, Vadakya",Alapuzha,Kerala,688003,9.4691337,76.3383491
"KFC P Square mall, Allahabad",Franchisee,"229/71, P Square Mall,M G road,civil lines",Civil lines bus stand,Allahabad,U P,122001,25.4494306,81.8395933
"KFC Trillium Mall, Amritsar",Franchisee,"KFC Restaurant, Trillium mall,","circular road, Opp basant avenue, Amritsar",Amritsar,Punjab,143001,31.6587371,74.8786785
KFC RBD Amritsar,Franchisee,"35B/36/13,The Mall Lawrence Road",Aventura Mall,Amritsar,Punjab,143001,31.6421787,74.8711893
KFC Asansol,Franchisee,"Shop No-1,Galaxy Mall,","Chitra More, Asansol",Asansol,West Bengal,713304,23.685034,86.941659
KFC Prozone,Franchisee,"KFC Prozone Mall Unit # R - 6 ,First Floor Prozone Mall, Plot No.",Chikalthana Industrial Estate,Aurangabad,Maharashtra,431 210,19.8765174,75.3721333
KFC CMH Road,Company,"No 1/1A (CMH Road),",Indira Nagar,Bangalore,Karnataka,560056,12.978213,77.640603
KFC RBD Forum,Company,The Forum Mall Unit 18 & 19 Hosur road,Koramangala,Bangalore,Karnataka,560034,12.9342708,77.6108754
KFC Commercial Street,Company,"No 63,64",Commercial street,Bangalore,Karnataka,560001,12.982515,77.607625
KFC Bangalore-Mysore Highway-DT,Company,"Survey no 180,67th KM Milestone, Mudugere Village, Mallur Hobli","Chennapatna, Bangalore-Mysore Highway",Bangalore,Karnataka,562160,12.613227,77.0704433
KFC RBD Jayanagar,Company,#49/40/1 32nd C Cross,11th Main 4th Blk Jayanagar,Bangalore,Karnataka,560011,12.9266751,77.5863439
KFC RBD Basaveshwar Nagar,Company,#729 Modi hospital Junction,"Modi hospital road 2nd stage,Bashveshwar Nagar",Bangalore,Karnataka,560086,12.9973297,77.546505
KFC RBD Chandra Layout,Company,"# 96, Ground floor, Chandra Layout main road",Next to HP Petrol pump,Bangalore,Karnataka,560040,12.9610378,77.5281305
KFC RBD Bommasandra,Company,No. 55 Bommasandra Village,"Attibele Hobli,  Opp. SKF, Anekal Taluk",Bangalore,Karnataka,560099,12.8223465,77.6863325
KFC RBD Arch Mall,Company,"Gopalan Arch Mall Shop No12,","Nayandahalli Village,Kengeri Hobli,Raja Rajeshwari Nagar Opp The Club Mysore Road",Bangalore,Karnataka,560039,12.9360137,77.5175503
KFC RBD JP Nagar,Company,"948,24th Main Road, 2nd Phase,",J P Nagar,Bangalore,Karnataka,560078,12.9151762,77.5858067
KFC RBD Electronic City,Company,"No.56, Survey No. 66, opp to Wipro gate 5","Electronic city phase -1, Next to hotel Svenska",Bangalore,Karnataka,560100,12.83957,77.659309
KFC RBD Total Mall,Company,KFC total mall,"(Old kempfort)Municipal corp#97, Old Airport Road",Bangalore,Karnataka,560017,12.9566733,77.6648024
"KFC Ascendas Park Square Mall , Bangalore",Company,"4th floor, Ascendas Park Sq Mall,Food Court","International Tech Park, White Fields Main Road,",Bangalore,Karnataka,560066,12.987153,77.7364991
KFC RBD Forum Value Mall,Company,"KFC Restaurant, Forum Value Mall","No. 62,Whitefield Main Road",Bangalore,Karnataka,560066,12.9595894,77.7473457
KFC RBD Hypercity,Company,"Hyper City, Survey No. 6/2 and 6/3 situated at Kundalahalli Gate","Thoobarahalli Village, Arthur Hobli, SouthTaluk",Bangalore,Karnataka,560037,12.9689968,77.7208853
"KFC Inorbit Mall Food Court, Bangalore",Company,"# 27, Inorbit Mall, 1st floor Food Court, Adjacent to Satya Saibaba Cancer Hospital.",White Field,Bangalore,Karnataka,560066,12.9790419,77.72899
KFC McGrath Garuda Mall,Company,"Municipal # CTS 15,17,18,27, 4th floor",Mc Grath Rd,Bangalore,Karnataka,560025,12.9699899,77.6096167
