phone,address,speciality,district,title
"
        
    ","
        94 Rivington St,New York, NY 10002
    ",Coffee & Tea,"
            Lower East Side        ",Zenchai
"
        (646) 968-4634
    ","
        15 W 28th St,New York, NY 10001
    ","Pizza,Vegan,Vegetarian","
            Flatiron        ",&pizza
"
        (347) 987-4103
    ","
        545 Court St,Brooklyn, NY 11231
    ","Ramen,Soup,Noodles","
            Carroll Gardens        ",Za-Ya Ramen
"
        (212) 564-0869
    ","
        134 West 37th St,New York, NY 10018
    ","Vegan,Sushi Bars,Vegetarian","
            Midtown West        ",Beyond Sushi Herald Square
"
        (718) 857-0222
    ","
        541 Myrtle Ave,Brooklyn, NY 11205
    ","Sushi Bars,Japanese,Desserts","
            Clinton Hill        ",U-gu
"
        (212) 343-4295
    ","
        155 Grand St,New York, NY 10013
    ","French,Wine Bars","
            SoHo        ",Troquet
"
        (212) 966-5014
    ","
        25 Cleveland Pl,New York, NY 10012
    ","Poke,Hawaiian,Salad","
            Nolita        ",The PokéSpot
"
        (646) 590-3276
    ","
        122 Ludlow St,New York, NY 10002
    ",Ramen,"
            Lower East Side        ",Ramen Ishida
"
        (347) 971-7024
    ","
        18 9th Ave,New York, NY 10014
    ","Cocktail Bars,Lounges,Venues & Event Spaces","
            Meatpacking District, West Village        ",The Notorious NY
"
        (212) 602-9991
    ","
        15 Cliff St,New York, NY 10038
    ","Breakfast & Brunch,Cocktail Bars,Juice Bars & Smoothies","
            Financial District        ",Hole in the Wall
"
        (212) 235-1994
    ","
        223 E 14th St,New York, NY 10003
    ","Sandwiches,Bakeries,Coffee & Tea","
            Gramercy        ",Fat Cat Kitchen
"
        (646) 779-2781
    ","
        646 Manhattan Ave,Brooklyn, NY 11222
    ","Korean,Asian Fusion","
            Greenpoint        ",Bulbap Grill
"
        (929) 359-6555
    ","
        445 Albee Square W,Brooklyn, NY 11201
    ",Food Court,"
            Downtown Brooklyn        ",Dekalb Market Hall
"
        (917) 870-1587
    ","
        353 W 14th St,New York, NY 10014
    ",Sushi Bars,"
            Meatpacking District, Chelsea, West Village        ",Sushi By Bou
"
        (718) 834-9000
    ","
        412 Court St,Brooklyn, NY 11231
    ","Cafes,Bakeries","
            Carroll Gardens        ",Sheila’s
